conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,застосовувати принципи дипломатії,,,released,2023-11-28T10:36:15.443Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Застосовувати процеси, пов’язані зі створенням міжнародних договорів, проводячи переговори між представниками різних країн, захищаючи інтереси уряду країни та сприяючи досягненню компромісу.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,керувати діями поліції під час розслідування,,,released,2023-11-30T15:58:51.376Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Вести розслідування у поліцейських справах, що передбачає розробку стратегії розслідування, звернення до експертів, вміння використовувати різні методи та точки зору, а також керувати слідчим персоналом.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,skill/competence,sector-specific,утилізувати відходи рибного промислу,,,released,2023-11-30T16:14:30.732Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Утилізувати відходи, кров і рибу низької якості відповідно до встановлених процедур поводження з відходами.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,розробляти концепції енергозбереження,,,released,2023-11-30T16:47:09.526Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Використовувати поточні результати досліджень та співпрацювати з експертами для оптимізації або розробки концепцій, обладнання та виробничих процесів, які потребують меншої кількості енергії, зокрема, нових методів ізоляції та матеріалів.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,виконувати вуличні виступи в межах соціальної роботи,,,released,2023-11-30T15:11:30.413Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Проводити інформаційну діяльність, надаючи інформаційні або консультаційні послуги безпосередньо певним особам у своєму районі чи на вулицях, які зазвичай орієнтовані на молодь або безпритульних осіб.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,працювати з солістами/солістками,,,released,2023-11-30T14:52:04.558Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Спілкуватися з сольними артистами та концертмейстерами, щоб обговорити виступи та підготуватися до них.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,cross-sector,спорт і спортивна медицина,,,released,2023-11-28T10:35:15.768Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Профілактика та лікування травм або станів, що виникли внаслідок фізичної активності або занять спортом.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,skill/competence,sector-specific,проводити дослідження флори,,,released,2025-07-25T11:15:00.857Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Збирати та аналізувати дані про рослини, щоб виявити їхні основні особливості, такі як походження, анатомія та функції.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,skill/competence,cross-sector,установлювати теплові насоси,,,released,2023-11-30T16:02:47.092Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Установлювати теплові насоси, які використовують фізичні властивості речовин, що називаються холодоагентами, для поглинання теплової енергії навколишнього середовища та її транспортування до середовищ з більш високою температурою, тобто у напрямку, протилежному спонтанному потоку тепла. Робити необхідні отвори й встановлювати внутрішній та зовнішній блоки теплового насоса. Під’єднувати усі елементи живлення та канали й налаштовувати тепловий насос.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,skill/competence,sector-specific,проєктувати установки на біомасі,,,released,2024-02-26T09:06:09.511Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Проєктувати установки з переробки біомаси. Визначати межі будівництва, як-от необхідний простір і вага. Розраховувати такі показники, як-от потужність, потік і температури. Складати детальні описи та креслення конструкції.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,skill/competence,occupation-specific,працювати з обладнанням у режимі зупиненої роботи,,,released,2023-11-30T16:15:46.521Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Безпечно поводитися з ручними інструментами під час перебування на канаті. Займати безпечну та стійку позицію перед початком проведенням операції. Після завершення безпечно зберігати інструменти, закріплюючи їх зазвичай на петлі (кільці) пояса.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,skill/competence,cross-sector,навчати навичкам ведення домашнього господарства,,,released,2023-11-30T14:59:12.719Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Навчати ведення домашнього господарства, а також навичок ручної праці, щоб полегшити повсякденні завдання та покращити життєві обставини.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,skill/competence,sector-specific,перевіряти локомотиви поїздів,,,released,2023-11-30T16:26:57.022Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Перевіряти відповідність локомотивів поїздів нормам перед початком рейсу.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,skill/competence,cross-sector,впливати на державну політику,,,released,2024-02-23T16:56:46.419Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Спілкуватися з політиками та надавати їм дані, щоб переконати їх змінити законодавство або виділити кошти на конкретну справу.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,knowledge,sector-specific,управління ризиками підприємства,,,released,2024-02-28T14:47:43.024Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Заснована на плані бізнес-стратегія, спрямована на виявлення, оцінку та підготовку до будь-яких небезпек, загроз та інших потенційних катастроф, як реальних, так і фігуративних, які можуть втручатись у діяльності та цілі організації.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,skill/competence,sector-specific,виготовляти інгредієнти,,,released,2023-11-28T10:48:56.713Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Виготовляти такі інгредієнти, як-от спеції, харчові добавки та овочі.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,skill/competence,occupation-specific,обслуговувати ставки для розведення аквакультури,,,released,2023-11-30T15:58:12.366Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Чистити обладнання та інструменти для обробки. Зливати воду та чистити ставки для розведення аквакультури за допомогою щіток, хімічних речовин та води. Готувати резервуари для утримання риби та міняти сітки. Проводити занурення. Розміщати рибу в місцях для утримання. Збирати мертву рибу в місця зберігання.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,skill/competence,cross-sector,застосовувати політику кредитних ризиків,,,released,2023-11-30T16:21:51.121Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Впроваджувати політику та процедури компанії в процесі управління кредитним ризиком. Постійно підтримувати кредитний ризик компанії на прийнятному рівні та вживати заходів для уникнення банкрутства.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,skill/competence,occupation-specific,"обробляти запити клієнтів, пов’язані з вантажами",,,released,2023-11-28T10:51:36.263Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Обробляти запити користувачів і клієнтів порту щодо контейнерів, організації перевезення або вантажу.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,skill/competence,cross-sector,створювати наукові чи академічні статті й технічну документацію,,,released,2024-02-27T10:19:54.09Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research","Створювати та редагувати наукові, академічні чи технічні тексти на різні теми.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,sector-specific,інкрементне розроблення,,,released,2023-11-30T16:04:23.487Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Модель інкрементного розроблення — це методологія розроблення програмних систем і додатків.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,knowledge,occupation-specific,використання спеціального обладнання для повсякденної діяльності,,,released,2023-11-30T14:55:34.482Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Види спеціального обладнання, протезів та ортезів, що використовуються для допомоги у повсякденній діяльності, наприклад, крісла колісні.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,knowledge,sector-specific,методи розпилювання,,,released,2023-11-28T17:01:47.985Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Різні методи пиляння з використанням як ручних, так і електричних пилок.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,skill/competence,sector-specific,виготовляти компоненти гітари,,,released,2023-11-30T15:07:31.318Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Обирати відповідну деревину, матеріали та інструменти, а також створювати різні компоненти гітари, зокрема деку, накладку на гриф, головку грифа, гриф і бридж.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,skill/competence,sector-specific,експлуатувати сільськогосподарську техніку,,,released,2023-11-30T15:33:40.16Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Керувати моторизованою сільськогосподарською технікою, зокрема тракторами, пресами-підбирачами, обприскувачами, плугами, косарками, комбайнами, землерийним обладнанням, вантажівками та обладнанням для поливу.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,skill/competence,occupation-specific,контролювати запаси піротехнічних засобів,,,released,2023-11-30T16:40:26.908Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Перевіряти термін придатності запасу, щоб вилучити піротехніку з простроченим терміном придатності. Поміщати їх у спеціальні металеві контейнери для подальшої обробки.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,skill/competence,sector-specific,гарантувати задоволення потреб споживачів,,,released,2023-11-30T16:17:08.718Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Здійснювати професійну діяльність враховуючи очікування споживачів, передбачаючи та задовольняючи їхні потреби та бажання. Демонструвати гнучкість в обслуговуванні споживачів, щоб забезпечити задоволеність і лояльність.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,skill/competence,sector-specific,виготовляти одяг,,,released,2023-11-28T17:02:59.358Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Виготовляти серійний або індивідуальний одяг різних типів, збирати та з’єднувати компоненти одягу за допомогою таких процесів, як шиття, склеювання, скріплення. Збирати компоненти одягу за допомогою стібків, швів, зокрема коміри, рукави, передню частину, задню частину, кишені.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,skill/competence,sector-specific,сушити листя тютюну,,,released,2023-11-30T16:43:33.944Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Видаляти вологу з листя тютюну одразу після заготівлі за допомогою різних процесів, зокрема, сушіння на повітрі, в печі або на сонці.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,skill/competence,cross-sector,розробляти програму реабілітації,,,released,2023-11-30T16:44:35.269Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Розробляти програму реабілітації, щоб допомогти пацієнтам відновити свої навички та впевненість.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,skill/competence,sector-specific,вести інвентаризацію миючих засобів,,,released,2023-11-30T15:57:17.267Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Слідкувати за запасом чистячих матеріалів, замовляти нові матеріали, коли вони закінчуються, і стежити за їх використанням для підтримання постійного запасу.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,knowledge,occupation-specific,холодна вулканізація,,,released,2023-11-28T10:55:39.536Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Методика, яка використовується для ремонту пошкоджених шин, особливо велосипедних, і полягає у шліфуванні області навколо розриву, нанесенні вулканізаційного розчину та накладенні латки для заклеювання розриву.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,skill/competence,sector-specific,контролювати операції побутового обслуговування,,,released,2023-11-30T15:00:11.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Здійснювати нагляд за щоденним обслуговуванням і прибиранням приміщень та громадських зон для забезпечення безперервної роботи.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,skill/competence,cross-sector,виступати як контактна особа під час інциденту з обладнанням,,,released,2023-11-28T16:56:44.753Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Виступати в якості контактної особи під час інциденту з обладнанням. Брати участь у розслідуванні, надаючи необхідну інформацію.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,skill/competence,sector-specific,ефективно використовувати час у роботах з озеленення,,,released,2023-11-30T15:51:59.501Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Планувати та впроваджувати робочі графіки, щоб вписатися в ландшафтні роботи, які включають фазу брифінгу, де ландшафтний проєкт обговорюється з клієнтом, після чого слідує серія ескізів, планів та проєктів.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,skill/competence,sector-specific,консультувати з митних правил,,,released,2024-02-29T17:03:42.447Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Надавати людям інформацію про імпортні та експортні обмеження, системи тарифів та на інші теми, пов’язані з митницею.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,skill/competence,occupation-specific,керувати кафедрою університету,,,released,2023-11-30T15:44:58.324Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Контролювати та оцінювати практику підтримки університету, благополуччя студентів та роботу викладачів.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,skill/competence,sector-specific,розробляти термінологічні бази,,,released,2023-11-30T16:48:35.884Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Збирати та подавати терміни після перевірки їхньої легітимності з метою створення термінологічних баз даних у різних галузях.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,skill/competence,occupation-specific,ремонтувати електровелосипеди,,,released,2023-11-30T15:05:03.04Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Перевіряти функціонування електричних компонентів, струмопроводу та запобіжників. Перевіряти наявність пошкоджень і несправностей і визначати причину. Демонтувати та ремонтувати частини велосипеда, зокрема додаткові приводи, системи перемикання швидкостей, системи електроживлення й освітлення. Здійснювати налаштування механічних і електронних механізмів перемикання швидкостей, приводних валів, гальмівних систем і компонентів шасі. Перевіряти робочу рідину велосипеда та перевіряти, чи потрібно її доливати або міняти.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,skill/competence,sector-specific,обслуговувати сортувальне обладнання,,,released,2025-07-25T08:55:01.796Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Виконувати планове технічне обслуговування, а також дрібний ремонт обладнання, яке використовується для сортування відходів і матеріалів, що підлягають вторинній переробці.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,skill/competence,sector-specific,пояснювати особливості в місці проживання,,,released,2023-11-28T11:05:09.788Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Роз’яснювати й демонструвати гостям умови їхнього проживання, показувати, як користуватися приміщеннями.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,knowledge,sector-specific,види ячменю,,,released,2023-11-30T14:57:44.02Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Різні типи ячменю; їхні характеристики та якість.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,knowledge,sector-specific,KDevelop,,,released,2023-06-08T15:25:12.058Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Комп’ютерна програма KDevelop — це набір засобів розроблення програмного забезпечення для написання програм, як-от компілятор, налагоджувач, редактор коду, підсвічування синтаксису коду, упаковані в уніфікований інтерфейс користувача. Вона розроблена спільнотою розробників програмного забезпечення KDE.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,skill/competence,sector-specific,закуповувати автозапчастини для транспортних засобів,,,released,2020-06-30T08:41:54.136Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Замовляти спеціальні запчастини, необхідні для обслуговування та ремонту різноманітних транспортних засобів.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,skill/competence,cross-sector,інспектувати морські споруди,,,released,2025-07-25T11:15:00.857Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Проводити регулярні інспекції під час і після будівництва морських споруд, як-от нафтові платформи, щоб мінімізувати ризики та забезпечити відповідність нормам.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,skill/competence,occupation-specific,налаштовувати параметри різання конвертів,,,released,2023-11-30T16:18:14.909Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Забезпечувати відповідність належному стандарту вирізання і склеювання. Проводити підготовку шляхом гумування сухим пластиром на заготовці та на матеріалі віконця під час його переміщення на конвеєрі. Регулювати залежно від положення віконця, гуми, пластиру та рівня відбитку.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,skill/competence,sector-specific,підготовляти олії,,,released,2023-11-30T15:09:08.216Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Підбирати відповідні олії для клієнта, змішувати їх, щоб створити індивідуальні суміші для клієнтів з урахуванням їхніх потреб і пропорцій, вести облік застосованих процедур і сумішей, що використовуються під час терапії.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,skill/competence,sector-specific,купувати запаси,,,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Купувати та поповнювати запаси; переконуватися, що всі необхідні товари є в наявності на складі.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,skill/competence,sector-specific,прагнути до досконалості у створенні харчових продуктів,,,released,2023-11-28T10:50:07.376Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Прагнути розробляти харчові продукти в їх максимально якісному вигляді.
	"
