conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,تطبيق المبادئ الدبلوماسية,,,released,2023-11-28T10:36:15.443Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تطبيق العمليات المتضمنة في إنشاء المعاهدات الدولية عبر إجراء المفاوضات بين ممثلي الدول المختلفة؛ مما يحمي مصالح الحكومة المحلية ويسهل الوصول إلى حل وسط.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,قائد تحقيقات الشرطة,,,released,2023-11-30T15:58:51.376Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",قيادة التحقيقات في قضايا الشرطة، والذي يتضمن وضع إستراتيجية التحقيق والتواصل مع الخبراء والقدرة على استخدام الطرق ووجهات النظر المختلفة وقيادة فريق التحقيق.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,skill/competence,sector-specific,التعامل مع النفايات المُخلفة عن صيد السمك,,,released,2023-11-30T16:14:30.732Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",التخلص من النفايات والدماء والسمك متدني الجودة بحسب إجراءات إدارة النفايات في الموقع.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,صياغة مفاهيم توفير الطاقة,,,released,2023-11-30T16:47:09.526Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills",استخدام نتائج البحوث الحالية والتعاون مع الخبراء لتحسين أو تطوير المفاهيم والمعدات وعمليات الإنتاج التي تتطلب كمية أقل من الطاقة، مثل ممارسات ومواد العزل الجديدة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,تنفيذ تدخلات الشارع في العمل الاجتماعي,,,released,2023-11-30T15:11:30.413Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",إجراء أنشطة التوعية عن طريق تقديم المعلومات المباشرة أو خدمات المشورة للناس في المناطق المجاورة أو في الشوارع، والتي تستهدف عادةً الشباب أو المشردين.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,التعامل مع العازفين المنفردين,,,released,2023-11-30T14:52:04.558Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",التواصل مع العازفين المنفردين وقادة الفرق الموسيقية لمناقشة العروض والتحضير من أجلها.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,cross-sector,معالجة الحالات والإصابات الناجمة عن ممارسة الأنشطة الرياضية والبدنية,,,released,2023-11-28T10:35:15.768Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",الوقاية والعلاج من الإصابات أو الحالات الناجمة عن النشاط البدني أو الرياضة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,skill/competence,sector-specific,اجراء الأبحاث على الحياة النباتية,,,released,2025-07-25T11:15:00.857Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",جمع البيانات عن النباتات وتحليلها لمعرفة النواحي الأساسية الخاصة بها مثل المنشأ والتشريح والوظيفة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,skill/competence,cross-sector,تركيب مضخة حرارية,,,released,2023-11-30T16:02:47.092Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills",تركيب المضخات الحرارية التي تستخدم الخواص الفيزيائية للمواد المعروفة باسم المبردات لسحب الطاقة من بيئة معينة وتحريرها في بيئة أدفأ على العكس من التدفق الحراري الطبيعي. إنشاء الفتحات الضرورية وتركيب القطع الداخلية والخارجية للمضخة الحرارية. توصيل الكهرباء وأي قنوات وتكوين المضخة الحرارية.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,skill/competence,sector-specific,تصميم تركيبات الكتلة الأحيائية,,,released,2024-02-26T09:06:09.511Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","تصميم نظام طاقة الكتلة الأحيائية. تحديد بناء الحدود على النحو اللازم من حيث المساحة والوزن. حساب المؤشرات مثل السعة، الدفق ودرجات الحرارة. إعداد وصفا تفصيلياً ورسوم التصميم.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,skill/competence,occupation-specific,التعامل مع المعدات المُعطلة,,,released,2023-11-30T16:15:46.521Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تشغيل المعدات اليدوية المُعطلة على الحبل بأمان. إتخاذ وضعًا آمنًا وثابتًا قبل بدء التشغيل. تخزين المعدات بأمان بعد نهاية العمل عن طريق ربطها بحزام أمان عادةً.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,skill/competence,cross-sector,تعليم مهارات التدبير المنزلي,,,released,2023-11-30T14:59:12.719Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تعليم مهارات التدبير المنزلي والمهارات اليدوية التي تهدف إلى تحسين المهام اليومية والظروف المعيشية.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,skill/competence,sector-specific,فحص محركات القطارات,,,released,2023-11-30T16:26:57.022Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",الحرص على امتثال محركات القطارات للوائح قبل بدء الرحلة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,skill/competence,cross-sector,التأثير على السياسات العامة,,,released,2024-02-23T16:56:46.419Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","الاتصال بصانعي السياسة ومدهم بالبيانات التي تقنعهم بتغيير القوانين أو تخصيص التمويلات لقضايا معينة.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,knowledge,sector-specific,إدارة مجازفة الشركة,,,released,2024-02-28T14:47:43.024Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","خطة معتمدة على استراتيجية المنظمة تهدف إلى تعريف، وتقدير، والاستعداد لأي أخطار، أو حوادث أو كوارث أخرى محتملة، حقيقية أو تصورية، من شأنها أن تؤثر على عمل المنظمة وأهدافها.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,skill/competence,sector-specific,تصنيع المكونات,,,released,2023-11-28T10:48:56.713Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تصنيع المكونات مثل التوابل والمواد المضافة والخضراوات.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,skill/competence,occupation-specific,صيانة أحواض تربية الأسماك,,,released,2023-11-30T15:58:12.366Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تنظيف المعدات وأدوات المعالجة. صرف أحواض تربية المائيات وتنظيفها باستخدام الفرش والمواد الكيميائية والماء. تجهيز حاويات التخزين للسمك وتغيير الشباك. إجراء أنشطة السباحة. تخزين السمك في وحدات التخزين. جمع السمك الميت في وحدات التخزين.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,skill/competence,cross-sector,تطبيق سياسة مخاطر الائتمان,,,released,2023-11-30T16:21:51.121Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",ينفذ سياسات الشركة وإجراءاتها في عملية إدارة مخاطر الائتمان. يُبقي مخاطر ائتمان الشركة دائمًا عند مستوى يمكن التعامل معه ويتخذ إجراءات لتجنُّب أي فشل ائتماني.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,skill/competence,occupation-specific,الرد على طلبات العملاء المتعلقة بالشحن,,,released,2023-11-28T10:51:36.263Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",معالجة طلبات مستخدمي الميناء والعملاء في مجال الحاويات أو ترتيبات الشحن أو البضائع المشحونة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,skill/competence,cross-sector,صياغة المقالات العلمية والأكاديمية والوثائق الفنية,,,released,2024-02-27T10:19:54.09Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research","صياغة وإعداد للنشر النصوص العلمية والأكاديمية أو الفنية التي تتناول موضوعات مختلفة.
    "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,sector-specific,التطوير التدريجي,,,released,2023-11-30T16:04:23.487Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",نموذج التطوير التدريجي هو منهجية لتصميم أنظمة وتطبيقات البرمجيات.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,knowledge,occupation-specific,استخدام معدات خاصة للأنشطة اليومية,,,released,2023-11-30T14:55:34.482Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",أنواع المعدات الخاصة والأطراف الاصطناعية ومبحث المقاويم المستخدمة للمساعدة في أداء الأنشطة اليومية مثل الكراسي المتحركة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,knowledge,sector-specific,تقنيات النشر,,,released,2023-11-28T17:01:47.985Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تقنيات النشر المختلفة لاستخدام المناشير اليدوية وكذلك المناشير الكهربائية.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,skill/competence,sector-specific,إنتاج مكونات الغيتار,,,released,2023-11-30T15:07:31.318Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",اختيار الأخشاب والمواد والأدوات المناسبة وجمع مكونات الجيتار المختلفة مثل لوحة الصوت ولوحة الذراع ورأس آلة الجيتار والرقبة والفرسة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,skill/competence,sector-specific,تشغيل الآلات الزراعية,,,released,2023-11-30T15:33:40.16Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تشغيل المعدات الزراعية المزودة بمحرك، والتي تشمل الجرارات وآلات الحزم والرشاشات والمحشّات والمحاريث وآلات الجمع والحصاد ومعدات جرف التربة والشاحنات ومعدات الري.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,skill/competence,occupation-specific,مراقبة مخزون منتجات الألعاب النارية,,,released,2023-11-30T16:40:26.908Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","مراجعة فترة نهاية صلاحية المخزون من أجل إزالة الصواريخ النارية المنتهية الصلاحية. وضعها داخل حاوية معدنية خاصة تمهيداً لمعالجتها لاحقاً.
   "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,skill/competence,sector-specific,ضمان رضا العملاء,,,released,2023-11-30T16:17:08.718Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تلبية توقعات العملاء بطريقة مهنية عن طريق توقُّع احتياجاتهم ورغباتهم وتحقيقها. تقديم خدمة العملاء المرنة التي تضمن رضا العملاء وولاءهم.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,skill/competence,sector-specific,صناعة منتجات الملابس,,,released,2023-11-28T17:02:59.358Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",صنع الملبوسات بمختلف أنواعها سواء بكميات ضخمة أو حسب الطلب، وذلك بجمع مكونات الملبوسات وتوصيلها معًا باستخدام عمليات مثل الخياطة والتغرية والربط. جمع مكونات الملبوسات باستخدام الغرز والدرز مثل الياقات والأكمام والجبهات العلوية والظهور العلوية والجيوب.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,skill/competence,sector-specific,معالجة أوراق التبغ,,,released,2023-11-30T16:43:33.944Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",إزلة الرطوبة من أوراق التبغ بعد حصادها مباشرة عن طريق عمليات مختلفة مثل المعالجة بالهواء أو المعالجة بالمدخنة أو المعالجة بالشمس.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,skill/competence,cross-sector,وضع برنامج لإعادة التأهيل,,,released,2023-11-30T16:44:35.269Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",وضع برنامج إعادة تأهيل لمساعدة المرضى على إعادة بناء مهاراتهم واستعادة الثقة في أنفسهم.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,skill/competence,sector-specific,المحافظة على مخزون مواد التنظيف,,,released,2023-11-30T15:57:17.267Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","متابعة مخزون مواد التنظيف وطلب المواد الجديدة عندما يكون المخزون فارغًا ومتابعة استخدامها لضمان الإمداد المستمر.
   "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,knowledge,occupation-specific,الفلكنة الباردة,,,released,2023-11-28T10:55:39.536Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تقنية تُستخدم لإصلاح الإطارات المعيبة، خاصة إطارات الدراجات، وهي عبارة عن تجليخ المنطقة حول التمزق، وتطبيق حل الفلكنة وتثبيت رقعة لغلق التمزق.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,skill/competence,sector-specific,الاشراف على عمليات التدبير المنزلي,,,released,2023-11-30T15:00:11.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",الإشراف على الخدمة اليومية وتنظيف الغرف والمناطق العامة لضمان العمليات المستمرة.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,skill/competence,cross-sector,العمل كموظف الاتصال عند وقوع أي حادث بشأن المعدات,,,released,2023-11-28T16:56:44.753Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",القيام بدور الشخص الذي يجب الاتصال به عندما يقع حادث بشأن المعدات. المشاركة في التحقيق عن طريق تقديم المعلومات.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,skill/competence,sector-specific,ادارة الوقت المستغرق في تصميم المواقع,,,released,2023-11-30T15:51:59.501Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",تخطيط وتنفيذ جداول العمل التي تناسب أنشطة تصميم المواقع، والتي تشمل مرحلة إعطاء التعليمات، والتي يُناقش فيها مشروع تصميم المواقع مع العميل، والتي تليها سلسلة من الرسوم التخطيطية والخطط والتصميمات.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,skill/competence,sector-specific,تقديم المشورة بشأن القوانين الجمركية,,,released,2024-02-29T17:03:42.447Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","تقديم المعلومات للناس بشأن القيود المفروضة على التصدير والاستيراد وأنظمة التعريفات الجمركية والموضوعات الأخرى المتعلقة بالجمارك.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,skill/competence,occupation-specific,الاشراف على القسم المعني بإدارة شؤون الجامعة,,,released,2023-11-30T15:44:58.324Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",الإشراف على ممارسات الدعم بالجامعة وسلامة الطلاب وأداء المدرسين.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,skill/competence,sector-specific,تصميم قواعد بيانات للمصطلحات,,,released,2023-11-30T16:48:35.884Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",جمع المصطلحات وإرسالها بعد التحقق من شرعيتها لبناء قواعد بيانات للمصطلحات على مجموعة من المجالات.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,skill/competence,occupation-specific,اصلاح الدراجات الكهربائية,,,released,2023-11-30T15:05:03.04Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",التحقق من أداء المكونات الكهربائية والأسلاك والمصهرات. فحص أي أضرار أو أعطال وتحديد السبب. تفكيك وإصلاح مكونات الدراجة مثل المحركات المساعدة وأنظمة التحويل وأنظمة إمداد القدرة وأنظمة الصواعق. ضبط معدات القطع والوصل الميكانيكية والإلكترونية والمحركات وأنظمة الكبح ومكونات الشاسيه. فحص سوائل تشغيل الدراجة وتحديد الحاجة إلى إعادة الملء أو التغيير.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,skill/competence,sector-specific,صيانة معدات الفرز,,,released,2025-07-25T08:55:01.796Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills",إجراء الصيانة الدورية والتصليحات البسيطة للمعدات المستخدمة لفرز النفايات والمواد المعاد تدويرها.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,skill/competence,sector-specific,شرح مميزات مكان الإقامة,,,released,2023-11-28T11:05:09.788Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",توضيح مرافق إقامة الضيوف وشرح كيفية استخدامها.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,knowledge,sector-specific,أنواع الشعير,,,released,2023-11-30T14:57:44.02Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",أنواع الشعير المختلفة وخصائصها وجودتها.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,knowledge,sector-specific,KDevelop,,,released,2023-06-08T15:25:12.058Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",البرمجة الحاسوبية KDevelopment هي مجموعة من أدوات تطوير البرامج لكتابة البرامج، مثل: المحول البرمجي، ومصحح الأخطاء، ومحرر الأكواد، وإبراز الأكواد، مُجمّعة في واجهة مستخدم موحدة. ويتم تطويره بواسطة مجتمع البرامج KDE.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,skill/competence,sector-specific,شراء قطع غيار السيارات,,,released,2020-06-30T08:41:54.136Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","طلب قطع الغيار المحددة اللازمة لصيانة وتصليح مجموعة كبيرة من المركبات.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,skill/competence,cross-sector,تفتيش المنشآت البحرية,,,released,2025-07-25T11:15:00.857Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",إجراء أعمال التفتيش المنتظمة أثناء وبعد إنشاء المرافق البحرية، مثل منصات النفط، لضمان تقليل المخاطر ومراعاة اللوائح.
